  1.00000e-02	 -9.26940e-06
  2.00000e-02	 -5.93562e-05
  3.00000e-02	 -1.53400e-04
  4.00000e-02	 -2.31978e-04
  5.00000e-02	 -3.18146e-04
  6.00000e-02	 -4.00670e-04
  7.00000e-02	 -4.81964e-04
  8.00000e-02	 -5.48008e-04
  9.00000e-02	 -5.72212e-04
  1.00000e-01	 -6.36046e-04
  1.10000e-01	 -7.50730e-04
  1.20000e-01	 -8.35623e-04
  1.30000e-01	 -9.12887e-04
  1.40000e-01	 -9.99667e-04
  1.50000e-01	 -1.04303e-03
  1.60000e-01	 -1.06509e-03
  1.70000e-01	 -1.09577e-03
  1.80000e-01	 -1.11601e-03
  1.90000e-01	 -1.09358e-03
  2.00000e-01	 -1.01552e-03
  2.10000e-01	 -9.35861e-04
  2.20000e-01	 -8.09497e-04
  2.30000e-01	 -6.44260e-04
  2.40000e-01	 -5.13399e-04
  2.50000e-01	 -3.14219e-04
  2.60000e-01	 -8.08419e-05
  2.70000e-01	  8.21600e-05
  2.80000e-01	  2.09356e-04
  2.90000e-01	  3.10011e-04
  3.00000e-01	  4.08240e-04
  3.10000e-01	  5.36139e-04
  3.20000e-01	  5.94402e-04
  3.30000e-01	  6.28788e-04
  3.40000e-01	  7.11802e-04
  3.50000e-01	  6.74561e-04
  3.60000e-01	  5.68466e-04
  3.70000e-01	  5.04216e-04
  3.80000e-01	  5.14022e-04
  3.90000e-01	  5.15369e-04
  4.00000e-01	  4.57812e-04
  4.10000e-01	  5.02851e-04
  4.20000e-01	  4.65998e-04
  4.30000e-01	  3.90657e-04
  4.40000e-01	  4.96686e-04
  4.50000e-01	  4.95116e-04
  4.60000e-01	  2.83166e-04
  4.70000e-01	  2.03959e-04
  4.80000e-01	  3.17353e-04
  4.90000e-01	  3.39365e-04
  5.00000e-01	  1.95868e-04
  5.10000e-01	  1.91563e-04
  5.20000e-01	  3.86673e-04
  5.30000e-01	  3.69798e-04
  5.40000e-01	  3.36081e-04
  5.50000e-01	  5.72692e-04
  5.60000e-01	  6.86601e-04
  5.70000e-01	  5.22484e-04
  5.80000e-01	  4.65928e-04
  5.90000e-01	  6.79857e-04
  6.00000e-01	  7.46561e-04
  6.10000e-01	  5.47934e-04
  6.20000e-01	  4.89764e-04
  6.30000e-01	  7.26815e-04
  6.40000e-01	  8.18906e-04
  6.50000e-01	  5.21077e-04
  6.60000e-01	  4.41434e-04
  6.70000e-01	  8.04001e-04
  6.80000e-01	  7.91329e-04
  6.90000e-01	  5.46751e-04
  7.00000e-01	  5.91792e-04
  7.10000e-01	  3.64268e-04
  7.20000e-01	  5.44828e-05
  7.30000e-01	  1.03199e-04
  7.40000e-01	  3.15017e-04
  7.50000e-01	  3.02548e-04
  7.60000e-01	  1.83361e-04
  7.70000e-01	  1.31434e-04
  7.80000e-01	 -1.96991e-04
  7.90000e-01	 -5.05675e-04
  8.00000e-01	 -5.66990e-05
  8.10000e-01	  4.62262e-04
  8.20000e-01	  1.65806e-04
  8.30000e-01	 -6.22624e-05
  8.40000e-01	 -4.65340e-04
  8.50000e-01	 -8.98936e-04
  8.60000e-01	 -2.84506e-04
  8.70000e-01	  5.32305e-04
  8.80000e-01	  1.60025e-04
  8.90000e-01	 -8.88455e-04
  9.00000e-01	 -7.23539e-04
  9.10000e-01	 -3.38512e-06
  9.20000e-01	  1.92015e-04
  9.30000e-01	  3.44644e-04
  9.40000e-01	  3.78928e-04
  9.50000e-01	 -2.23928e-04
  9.60000e-01	 -1.11953e-03
  9.70000e-01	 -4.03059e-04
  9.80000e-01	  1.36516e-03
  9.90000e-01	  1.15453e-03
  1.00000e+00	 -4.66727e-04
  1.01000e+00	 -9.38476e-04
  1.02000e+00	 -7.09147e-04
  1.03000e+00	 -2.86104e-04
  1.04000e+00	  5.22126e-04
  1.05000e+00	  7.14770e-04
  1.06000e+00	 -9.54362e-05
  1.07000e+00	 -3.16727e-04
  1.08000e+00	  8.56697e-04
  1.09000e+00	  1.33582e-03
  1.10000e+00	  5.75218e-04
  1.11000e+00	  9.79518e-05
  1.12000e+00	  6.02853e-04
  1.13000e+00	 -2.16613e-04
  1.14000e+00	 -1.39708e-03
  1.15000e+00	  4.79449e-04
  1.16000e+00	  1.70769e-03
  1.17000e+00	  1.21438e-04
  1.18000e+00	 -1.15841e-04
  1.19000e+00	  1.69387e-03
  1.20000e+00	  1.02956e-03
  1.21000e+00	 -1.49599e-03
  1.22000e+00	  3.38464e-04
  1.23000e+00	  2.18325e-03
  1.24000e+00	 -1.20451e-03
  1.25000e+00	 -2.54435e-03
  1.26000e+00	 -5.36399e-04
  1.27000e+00	 -9.07630e-04
  1.28000e+00	 -9.03589e-04
  1.29000e+00	  2.81667e-03
  1.30000e+00	  3.10075e-03
  1.31000e+00	 -2.09100e-03
  1.32000e+00	 -4.36324e-03
  1.33000e+00	 -8.04593e-04
  1.34000e+00	  1.40630e-03
  1.35000e+00	  1.06572e-04
  1.36000e+00	  9.07048e-04
  1.37000e+00	  7.26403e-04
  1.38000e+00	 -3.73256e-03
  1.39000e+00	 -4.36175e-03
  1.40000e+00	  1.15509e-03
  1.41000e+00	  4.29056e-03
  1.42000e+00	  1.43983e-03
  1.43000e+00	 -2.40170e-03
  1.44000e+00	 -3.43335e-03
  1.45000e+00	 -2.93327e-03
  1.46000e+00	 -2.16964e-04
  1.47000e+00	  1.90476e-03
  1.48000e+00	  1.14745e-03
  1.49000e+00	  9.04575e-04
  1.50000e+00	 -2.91223e-04
  1.51000e+00	 -1.16828e-03
